thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,prac_image1.stopped,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0034813000002031913,0.008759599999393686,0.008759599999393686,1.616765900000246,space,1.5858877000000575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
,,,,,,,,,,,,,,,,,,,,,,,1.626331299999947,1.626331299999947,space,1.6012167000008048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
9,0,9,,,,9,0,9,0,,,,,25.572079099999428,,,,,,,,,,,,,,25.572079099999428,26.52691649999997,26.060203199999705,16.960147199999483,j,0.4383269999998447,None,27.993984499999897,28.001326999999947,28.001326999999947,32.47726859999966,space,4.474228199999743,None,,,,,,,,,,,,,,,,,,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
0,0,0,f,0.36602419999962876,None,,,,,0,0,0,0,32.52359280000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.514687899999444,32.52359280000019,34.06013819999953,33.67658859999938,34.06013819999953,36.12296199999946,f,0.36602419999962876,None,10,image2,4,image2,image1,['high'],0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
0,0,0,j,0.32346380000035424,None,,,,,0,0,0,0,36.17872459999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.17156299999988,36.17872459999944,37.09353250000004,36.743560299999444,,39.73725860000013,j,0.32346380000035424,None,10,image2,3,image2,image1,"['high', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
1,0,1,j,0.4240224999994098,None,,,,,1,0,1,0,39.78985349999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.78132000000005,39.78985349999948,41.276954099999784,40.826940099999774,41.276954099999784,43.16414970000005,j,0.4240224999994098,None,0,image2,2,image2,image1,"['high', 'high', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
2,0,2,j,0.4011997000006886,None,,,,,2,0,2,0,43.21364809999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.20640689999982,43.21364809999977,44.8102401999995,44.37698839999939,44.8102401999995,47.170914000000266,j,0.4011997000006886,None,10,image1,1,image2,image1,"['high', 'high', 'high', 'low']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
3,0,3,f,0.35341450000032637,None,,,,,3,0,3,0,47.273914100000184,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.26677099999961,47.273914100000184,48.96027129999948,48.576899599999706,48.96027129999948,51.29457589999947,f,0.35341450000032637,None,0,image1,0,image2,image1,"['high', 'high', 'high', 'low', 'low']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
4,0,4,f,0.4504075999993802,None,,,,,4,0,4,0,51.34499270000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3377518999996,51.34499270000015,52.84366630000022,52.37694099999953,52.84366630000022,54.45440830000007,f,0.4504075999993802,None,10,image2,-1,image2,image1,"['high', 'high', 'high', 'low', 'low', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
5,0,5,j,0.3220961000006355,None,,,,,5,0,5,0,54.50245689999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49541820000013,54.50245689999974,56.543534599999475,56.19362920000003,56.543534599999475,59.31605659999968,j,0.3220961000006355,None,10,image2,-2,image2,image1,"['high', 'high', 'low', 'low', 'high', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
6,0,6,f,0.9945175000002564,None,,,,,6,0,6,0,59.364593799999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.35697329999948,59.364593799999966,61.81007279999994,60.79354390000026,61.81007279999994,63.79709809999986,f,0.9945175000002564,None,10,image2,-3,image2,image1,"['high', 'low', 'low', 'high', 'high', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
7,0,7,j,0.5246429999997417,None,,,,,7,0,7,0,63.897155399999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.890061199999764,63.897155399999974,65.24383539999963,64.69353299999966,65.24383539999963,66.93730419999974,j,0.5246429999997417,None,0,image1,-4,image2,image1,"['low', 'low', 'high', 'high', 'high', 'low']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
8,0,8,f,0.3242545000002792,None,,,,,8,0,8,0,66.98611400000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97910299999967,66.98611400000027,68.89353200000005,68.5435096000001,68.89353200000005,70.85581970000021,f,0.3242545000002792,None,10,image2,-5,image2,image1,"['low', 'high', 'high', 'high', 'low', 'high']",0.3,0.7,81,001,2025-03-02_11h22.36.820,实验程序1.0,2024.2.4,59.994732462430804,2025-03-02 11h22.46.122874 +0800,
