thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,intro1.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,intro_2.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_frame.started,prac_image2.stopped,prac_key_resp.started,trials_prac.prac_key_resp.keys,trials_prac.prac_key_resp.rt,trials_prac.prac_key_resp.duration,prac_image1.stopped,start.started,start_trail.started,key_resp_3.started,start.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trail.started,frame.started,image2.stopped,key_resp.started,image1.stopped,trail.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,reward_result,selected_image,buffer_trail,high_prob_image,low_prob_image,choice_history,image1_prob,image2_prob,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003385900000012043,0.008342999999968015,0.008342999999968015,4.04565969999976,space,4.0201953000000685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
,,,,,,,,,,,,,,,,,,,,,,,4.061213399999815,4.061213399999815,space,3.0145516000002317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
9,0,9,,,,9,0,9,0,,,,,31.648922299999867,,,,,,,,,,,,,,31.648922299999867,32.54247149999992,32.17564760000005,f,0.34091069999976753,None,25.292324000000008,34.00757049999993,34.015229499999805,34.015229499999805,35.67596400000002,space,1.6524813000000904,None,,,,,,,,,,,,,,,,,,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
0,0,0,j,0.5846409999999196,None,,,,,0,0,0,0,35.72305349999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71484499999997,35.72305349999988,37.32560259999991,36.70861560000003,37.32560259999991,40.127895299999636,j,0.5846409999999196,None,10,image2,5,image2,image1,['high'],0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
0,0,0,j,0.5439003000001321,None,,,,,0,0,0,0,40.180914999999914,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.17366979999997,40.180914999999914,42.27560829999993,41.70896549999998,42.27560829999993,44.921274999999696,j,0.5439003000001321,None,10,image2,4,image2,image1,"['high', 'high']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
1,0,1,j,0.6207925999997315,None,,,,,1,0,1,0,44.97274849999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.96559449999995,44.97274849999985,46.42565949999971,45.77555510000002,46.42565949999971,48.14210729999968,j,0.6207925999997315,None,10,image2,3,image2,image1,"['high', 'high', 'high']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
2,0,2,f,0.5287717999999586,None,,,,,2,0,2,0,48.19257949999974,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.18514469999991,48.19257949999974,49.80887559999974,49.25902199999973,49.80887559999974,51.71410799999967,f,0.5287717999999586,None,10,image2,2,image2,image1,"['high', 'high', 'high', 'high']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
3,0,3,j,0.4271500999998352,None,,,,,3,0,3,0,51.81106389999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.80395419999968,51.81106389999968,53.67574289999993,53.22567439999966,53.67574289999993,56.595528999999715,j,0.4271500999998352,None,10,image2,1,image2,image1,"['high', 'high', 'high', 'high', 'high']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
4,0,4,f,0.518346400000155,None,,,,,4,0,4,0,56.64620569999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.63912570000002,56.64620569999988,58.075596700000006,57.52554280000004,58.075596700000006,59.87844539999969,f,0.518346400000155,None,0,image2,3,image1,image2,['low'],0.7,0.3,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
5,0,5,f,0.6527997999996842,None,,,,,5,0,5,0,59.92718769999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.920016099999884,59.92718769999965,61.8423573,61.158924399999705,61.8423573,64.70644909999965,f,0.6527997999996842,None,10,image1,2,image1,image2,"['low', 'high']",0.7,0.3,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
6,0,6,f,0.44597620000013194,None,,,,,6,0,6,0,64.7516827999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.74453240000003,64.7516827999998,67.20899059999965,66.74216989999968,67.20899059999965,68.85039049999978,f,0.44597620000013194,None,10,image1,1,image1,image2,"['low', 'high', 'high']",0.7,0.3,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
7,0,7,f,0.4773949000000357,None,,,,,7,0,7,0,68.94699919999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9400883999997,68.94699919999994,71.4590103999999,70.95891119999987,71.4590103999999,73.63178870000002,f,0.4773949000000357,None,10,image1,0,image1,image2,"['low', 'high', 'high', 'high']",0.7,0.3,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
8,0,8,j,0.418065000000297,None,,,,,8,0,8,0,73.6823675999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.67508599999974,73.6823675999999,76.0757024999998,75.62553170000001,76.0757024999998,78.5368896,j,0.418065000000297,None,10,image1,-1,image1,image2,"['low', 'high', 'high', 'high', 'high']",0.7,0.3,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
9,0,9,j,0.3855905000000348,None,,,,,9,0,9,0,78.58321339999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57617179999988,78.58321339999975,80.45895429999973,80.04232550000006,80.45895429999973,82.78905459999987,j,0.3855905000000348,None,0,image1,1,image2,image1,[],0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
10,0,10,j,0.3579549999999472,None,,,,,10,0,10,0,82.83235220000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.82524579999972,82.83235220000006,85.12564889999976,84.74247620000006,85.12564889999976,87.43352000000004,j,0.3579549999999472,None,10,image2,0,image2,image1,['high'],0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
11,0,11,j,0.5903210999999828,None,,,,,11,0,11,0,87.47802699999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.47092599999996,87.47802699999966,89.55895939999982,88.94231820000005,89.55895939999982,92.10906639999985,j,0.5903210999999828,None,0,image2,-1,image2,image1,"['high', 'high']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
12,0,12,j,0.6887629000002562,None,,,,,12,0,12,0,92.20553810000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.1982582999999,92.20553810000001,93.60888529999966,92.89224539999987,93.60888529999966,95.65191189999996,j,0.6887629000002562,None,10,image1,-2,image2,image1,"['high', 'high', 'low']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
13,0,13,f,0.6458207000000584,None,,,,,13,0,13,0,95.70241619999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.69529599999987,95.70241619999979,97.04224879999992,96.37569319999966,97.04224879999992,98.65855089999968,f,0.6458207000000584,None,10,image1,-3,image2,image1,"['high', 'high', 'low', 'low']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
14,0,14,j,0.3556760999999824,None,,,,,14,0,14,0,98.70820079999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.70083109999996,98.70820079999976,99.99230639999996,99.60887890000004,99.99230639999996,101.63355989999991,j,0.3556760999999824,None,0,image1,-4,image2,image1,"['high', 'high', 'low', 'low', 'low']",0.3,0.7,19,001,2024-11-16_10h02.22.064,实验程序1.0,2024.2.4,60.0079810614542,2024-11-16 10h02.34.496306 +0800,
